slug,title,mode,intensity,cost_tier,estimated_minutes,duration_label,recommended_time_blocks,solo_enabled,pair_enabled,group_enabled,family_enabled,accessibility_notes,accessible_alternative_title,accessible_alternative_description
muda-o-caminho-de-hoje,Muda o caminho de hoje,recomeco,leve,gratis,10,leve,"morning,afternoon,evening",true,false,false,false,short walking alternative,Muda o ponto de vista,"Se deslocar for dificil, muda o ponto de vista: senta-te noutro lugar, olha por outra janela, ou observa um espaco conhecido com atencao nova."
repara-em-tres-coisas-novas,Repara em tres coisas novas,recomeco,leve,gratis,10,leve,"morning,afternoon,evening,night",true,false,false,false,seated possible,Observa de onde estas,"Pode ser feito sentado/a, em casa, no trabalho, no transporte, ou num lugar calmo."
uma-mensagem-simples,Uma mensagem simples,social,leve,gratis,5,micro,"lunch,evening",true,true,false,false,text-based,Mensagem no formato certo,"Pode ser texto, audio, ou chamada, conforme for mais confortavel."
escolhe-alguem-para-convidar,Escolhe alguem para convidar,coragem,leve,gratis,5,micro,"monday,evening",true,false,false,false,private-first,Escolhe sem enviar,Nao tens de enviar nada hoje. So escolhe uma pessoa que gostarias de convidar esta semana.
caminhada-curta-ou-pausa-ao-ar-livre,Caminhada curta ou pausa ao ar livre,saude,leve,gratis,15,leve,"morning,lunch,evening",true,true,false,false,short walk/roll alternative,Ar livre adaptado,"Rola, caminha pouco, senta-te ao ar livre, ou faz movimento adaptado ao teu corpo."
dez-minutos-sem-ecra,Dez minutos sem ecra,recomeco,leve,gratis,10,leve,"evening,night",true,false,false,true,seated possible,Pausa de baixo esforco,"Guarda o telemovel durante 10 minutos e faz uma coisa simples: respirar, arrumar, olhar pela janela, conversar, ou ficar quieto/a."
pergunta-melhor-a-alguem,Pergunta melhor a alguem,social,real,gratis,15,leve,"lunch,evening",false,true,false,true,text or voice,Pergunta por mensagem,Faz por mensagem se conversa presencial for cansativa.
convite-de-cafe-simples,Convite de cafe simples,coragem,real,low_cost,30,realista,"thursday,friday,weekend",false,true,false,false,seated,Cafe calmo e acessivel,"Escolhe um sitio sentado, calmo e acessivel."
jantar-sem-telemoveis,Jantar sem telemoveis,familia,real,low_cost,45,plano,"evening,weekend",false,false,false,true,seated,Lanche sem telemoveis,"Pode ser qualquer refeicao ou lanche, sentado/a."
diz-ola-a-alguem-do-teu-dia,Diz ola a alguem do teu dia,coragem,leve,gratis,5,micro,"morning,lunch,afternoon,evening",true,true,false,false,optional text alternative,Gesto simples,"Um aceno, sorriso, mensagem ou gesto simples tambem conta."
plano-low-cost-para-sexta,Plano low cost para sexta,social,real,low_cost,15,leve,thursday,true,true,true,false,planning,Plano acessivel,Escolhe uma opcao com transporte e acessibilidade conhecidos.
vai-a-um-sitio-onde-nunca-entraste,Vai a um sitio onde nunca entraste,coragem,real,low_cost,30,realista,"afternoon,weekend",true,true,false,false,check accessibility first,Escolhe alternativa acessivel,Verifica acesso antes ou escolhe uma alternativa calma e acessivel.
telefonema-a-familia,Telefonema a familia,familia,leve,gratis,10,leve,"evening,sunday",false,true,false,true,audio,Contacto no formato certo,"Audio, video, texto ou mensagem de voz."
caminhada-em-familia,Caminhada em familia,familia,real,gratis,30,realista,weekend,false,false,false,true,short route option,Passeio curto adaptado,"Percurso curto, banco pelo caminho, ou passeio sentado/ao ar livre."
mini-treino-adaptado,Mini-treino adaptado,saude,leve,gratis,10,leve,"morning,evening",true,true,false,false,body-adapted,Movimento possivel,"Faz movimento adaptado ao teu corpo: alongar, mobilidade, pesos leves, cadeira, respiracao ou caminhada."
le-uma-pagina-fora-do-habitual,Le uma pagina fora do habitual,recomeco,leve,gratis,10,leve,"night,sunday",true,false,false,false,seated,Leitura alternativa,"Pode ser audio, video com legendas, ou leitura assistida."
um-elogio-honesto,Um elogio honesto,social,leve,gratis,5,micro,"morning,lunch,afternoon,evening",true,true,false,false,text alternative,Elogio por texto,Diz por mensagem uma coisa especifica e honesta.
quem-alinha-para-uma-volta-curta,Quem alinha para uma volta curta?,social,real,gratis,20,realista,"evening,weekend",false,true,true,false,short route option,Percurso leve,Indica ritmo leve e percurso acessivel se possivel.
marca-algo-antes-de-adiar,Marca algo antes de adiar,coragem,real,gratis,10,leve,thursday,true,true,false,false,planning,Marca privado,"Pode ser uma nota privada, sem envolver ninguem."
faz-uma-coisa-em-silencio,Faz uma coisa em silencio,recomeco,leve,gratis,15,leve,"night,sunday",true,false,false,false,low sensory,Baixo estimulo,Escolhe uma atividade calma e sem ruido durante 15 minutos.
convida-alguem-que-costuma-ficar-de-fora,Convida alguem que costuma ficar de fora,social,coragem,gratis,10,leve,"thursday,weekend",false,true,true,false,no pressure,Convite inclusivo,"Inclui uma opcao low cost e acessivel, sem pressao."
pergunta-a-tua-familia-por-uma-memoria,Pergunta a tua familia por uma memoria,familia,leve,gratis,20,realista,"evening,sunday",false,true,false,true,seated,Memoria a distancia,Pode ser por chamada ou mensagem.
experimenta-uma-aula-ou-treino-diferente,Experimenta uma aula ou treino diferente,saude,coragem,low_cost,45,plano,"evening,weekend",true,true,true,false,adapted option,Versao adaptada,"Escolhe uma versao adaptada, online, sentada ou de baixa intensidade."
vai-ao-parque-ou-miradouro-mais-proximo,Vai ao parque ou miradouro mais proximo,recomeco,real,gratis,30,realista,"evening,weekend",true,true,false,true,step-free if possible,Espaco com descanso,"Escolhe sitio com banco, acesso facil e pouco ruido."
almoco-sem-pressa-com-alguem,Almoco sem pressa com alguem,social,real,low_cost,45,plano,"lunch,weekend",false,true,false,false,seated,Almoco calmo,"Sitio sentado, acessivel e com baixo ruido."
mensagem-de-reaproximacao,Mensagem de reaproximacao,coragem,real,gratis,10,leve,"evening,sunday",true,true,false,false,text-based,Rascunho primeiro,Pode ficar como rascunho se hoje ainda for cedo demais.
cozinhar-juntos-algo-simples,Cozinhar juntos algo simples,familia,real,low_cost,45,plano,"evening,weekend",false,true,false,true,seated tasks possible,Tarefas adaptadas,Tarefas sentadas ou divididas por energia.
cinco-minutos-de-arrumacao-visivel,Cinco minutos de arrumacao visivel,recomeco,leve,gratis,5,micro,"morning,evening",true,false,false,true,low energy,Arrumacao minima,Escolhe uma tarefa leve ou pede ajuda.
treino-em-dupla,Treino em dupla,saude,real,gratis,30,realista,"morning,evening",false,true,true,false,adapted movement,Ritmo combinado,Movimento adaptado e ritmo combinado antes.
lanca-um-quem-alinha-no-teu-circulo,Lanca um Quem alinha? no teu circulo,social,coragem,gratis,10,leve,"thursday,friday",false,false,true,false,planning,Convite claro,Inclui custo e acessibilidade no convite.
cafe-ou-cha-com-pergunta-nova,Cafe ou cha com pergunta nova,social,real,low_cost,30,realista,"afternoon,weekend",false,true,true,false,seated,Sitio calmo,Sitio sentado e calmo.
passeio-curto-com-filhos,Passeio curto com filhos,familia,real,gratis,30,realista,weekend,false,false,false,true,accessible route,Percurso previsivel,"Percurso curto, sem escadas, com casa de banho se possivel."
entra-em-modo-recomeco,Entra em modo recomeço,recomeco,leve,gratis,5,micro,"monday,sunday,night",true,false,false,false,low energy,Menor acao util,Escolhe a menor acao util do dia. Uma so. Faz isso e para.
vai-sozinho-a-um-lugar-calmo,Vai sozinho/a a um lugar calmo,coragem,real,low_cost,30,realista,"afternoon,weekend",true,false,false,false,low sensory,Lugar previsivel,"Escolhe lugar sentado, acessivel e previsivel."
faz-um-convite-sem-floreados,Faz um convite sem floreados,coragem,coragem,gratis,10,leve,"thursday,friday",true,true,false,false,text or voice,Convite por texto,Pode ser texto e pode escolher local acessivel.
alguem-novo-no-grupo,Alguem novo no grupo,social,coragem,gratis,15,leve,weekend,false,false,true,false,host-aware,Acolhimento privado,Pergunta em privado se precisa de alguma adaptacao.
missao-igreja-comunidade-incluir-alguem,Missao igreja/comunidade: incluir alguem,social,real,gratis,20,realista,"weekend,sunday",false,true,true,false,no pressure,Sem exposicao,Sem exposicao publica e sem insistencia.
voluntariado-pequeno,Voluntariado pequeno,social,coragem,gratis,60,plano,weekend,false,false,true,false,check accessibility,Tarefa compativel,"Escolhe uma tarefa compativel com corpo, energia e transporte."
caminhada-sentada-alternativa,Caminhada sentada alternativa,saude,leve,gratis,15,leve,"morning,lunch,afternoon,evening",true,true,false,false,seated/limited mobility,Presenca corporal,"Mobilidade sentada, respiracao, alongamento leve, ou ar fresco."
partilha-uma-coisa-interessante,Partilha uma coisa interessante,social,leve,gratis,10,leve,evening,true,true,true,false,text-based,Formato flexivel,"Texto, audio ou imagem."
plano-de-domingo-para-segunda-leve,Plano de domingo para segunda leve,recomeco,leve,gratis,10,leve,"sunday,night",true,false,false,true,planning,Planeamento privado,Planeamento privado e sentado.
jogo-simples-em-familia,Jogo simples em familia,familia,leve,gratis,30,realista,"evening,weekend",false,false,false,true,seated,Adaptavel,Sentado e adaptavel.
visita-gratuita-ou-low-cost,Visita gratuita ou low cost,social,real,low_cost,60,plano,weekend,true,true,true,true,check accessibility,Verifica antes,"Verifica acesso, ruido, transporte e lugares sentados."
fala-com-alguem-no-gym-clube,Fala com alguem no gym/clube,coragem,real,gratis,5,micro,"morning,evening",true,true,false,false,optional wave,Cumprimento simples,Um cumprimento ou pergunta simples conta.
faz-um-plano-para-alguem-que-esta-cansado,Faz um plano para alguem que esta cansado,familia,real,low_cost,30,realista,"evening,weekend",false,true,false,true,supportive,Duas opcoes,Oferece duas opcoes: sair pouco ou fazer algo em casa.
fotografa-algo-que-te-fez-reparar,Fotografa algo que te fez reparar,recomeco,leve,gratis,10,leve,"morning,lunch,afternoon,evening",true,false,false,false,seated possible,Foto privada,Pode ser feito em casa ou sentado/a.
encontro-pequeno-de-3-pessoas,Encontro pequeno de 3 pessoas,social,coragem,low_cost,60,plano,"friday,weekend",false,false,true,false,public place,Local acessivel,Escolhe local acessivel e low cost.
pergunta-como-estas-mesmo,Pergunta como estas mesmo?,social,real,gratis,20,realista,evening,false,true,false,true,text or voice,Formato seguro,"Texto, audio ou chamada."
mini-roteiro-low-cost,Mini-roteiro low cost,coragem,real,low_cost,45,plano,weekend,true,true,false,false,accessible alternative,Roteiro acessivel,"Sem escadas, bancos, pouco ruido, transporte facil."
ajuda-pratica-a-alguem,Ajuda pratica a alguem,social,real,gratis,20,realista,weekend,false,true,true,false,adapted task,Ajuda digital,Ajuda digital ou sentada tambem conta.
movimento-antes-do-banho,Movimento antes do banho,saude,leve,gratis,8,leve,"morning,night",true,false,false,false,body-adapted,Movimento possivel,Adaptado ao corpo e energia.
troca-uma-queixa-por-uma-acao-pequena,Troca uma queixa por uma acao pequena,recomeco,leve,gratis,5,micro,"morning,lunch,afternoon,evening",true,false,false,false,private-first,Escreve primeiro,Pode ser so escrever a acao e fazer depois.
date-simples-sem-pressao,Date simples sem pressao,coragem,coragem,low_cost,45,plano,"friday,weekend",false,true,false,false,public place,Plano curto e publico,"Local publico, sentado e facil de sair."
convite-para-familias,Convite para familias,familia,coragem,gratis,15,leve,weekend,false,false,true,true,public place,Pergunta antes,Pergunta necessidades antes e escolhe local previsivel.
mesa-com-pergunta,Mesa com pergunta,familia,leve,gratis,20,realista,evening,false,false,true,true,seated,Sem exposicao,"Sentado, curto, sem exposicao."
grupo-de-caminhada-low-cost,Grupo de caminhada low cost,saude,coragem,gratis,45,plano,weekend,false,false,true,false,route choice,Percurso curto,Oferece percurso curto e ponto de descanso.
leva-alguem-contigo,Leva alguem contigo,social,real,low_cost,30,realista,"afternoon,weekend",false,true,false,false,accessible option,Escolha para os dois,Escolhe algo acessivel para os dois.
regressa-sem-vergonha,Regressa sem vergonha,recomeco,leve,gratis,5,micro,"morning,lunch,afternoon,evening,night",true,false,false,false,low energy,Voltar pequeno,Abrir a app e escolher uma acao pequena ja conta.
cumprimenta-o-anfitriao,Cumprimenta o anfitriao,coragem,leve,gratis,5,micro,event_start,false,false,true,false,low pressure,Contacto minimo,"Aceno, mensagem ou pedir acolhimento tambem conta."
fecha-o-dia-com-uma-memoria,Fecha o dia com uma memoria,recomeco,leve,gratis,5,micro,night,true,false,false,true,private or shared,Memoria privada,"Privado ou partilhado, como preferires."
agua-antes-do-mundo,Agua antes do mundo,saude,leve,gratis,3,micro,morning,true,false,false,false,low energy,Agua perto de ti,"Bebe agua no teu ritmo. Se precisares, deixa o copo preparado na noite anterior."
luz-natural-em-silencio,Luz natural em silencio,saude,leve,gratis,10,leve,morning,true,false,false,false,seated possible,Luz onde der,"Pode ser junto a uma janela, varanda, porta, jardim ou caminho curto."
telemovel-fora-do-quarto,Telemovel fora do quarto,saude,coragem,gratis,5,micro,night,true,false,false,false,private-first,Telemovel mais longe,"Se outra divisao for demasiado, deixa-o apenas fora da cama."
refeicao-inteira-sem-ecra,Refeicao inteira sem ecra,saude,real,gratis,20,realista,"lunch,evening",true,false,false,true,seated,Refeicao com menos ecra,"Se for dificil, comeca por metade da refeicao."
alongar-com-uma-musica,Alongar com uma musica,saude,leve,gratis,5,micro,"morning,evening",true,false,false,false,body-adapted,Alongamento possivel,"Alongar pescoço, ombros, maos ou pernas no ritmo do teu corpo."
troca-uma-bebida-por-agua,Troca uma bebida por agua,saude,leve,low_cost,2,micro,"morning,lunch,afternoon,evening",true,false,false,false,low energy,Troca pequena,Substitui uma bebida por agua uma vez hoje.
ombros-e-pescoco-em-pausa,Ombros e pescoco em pausa,saude,leve,gratis,5,micro,"workday,afternoon,evening",true,false,false,false,seated,Pausa sentada,"Faz 5 minutos de mobilidade de pescoco, ombros e respiracao."
liga-a-alguem-mais-velho,Liga a alguem mais velho,familia,leve,gratis,10,leve,"evening,sunday",false,true,false,true,audio/text,Contacto simples,"Pode ser chamada, mensagem de voz ou texto curto."
pequeno-almoco-simples-para-casa,Pequeno-almoco simples para casa,familia,real,low_cost,20,realista,"morning,weekend",false,false,false,true,seated tasks,Tarefa pequena,"Pode ser so preparar cafe, pao, fruta ou a mesa."
uma-pergunta-sobre-o-passado,Uma pergunta sobre o passado,familia,real,gratis,20,realista,"evening,sunday",false,true,false,true,seated,Conversa calma,Pergunta uma coisa sobre o passado e ouve sem interromper.
trinta-minutos-de-casa-calma,Trinta minutos de casa calma,familia,coragem,gratis,30,realista,evening,false,false,false,true,low sensory,Versao curta,"Se 30 minutos for demais, comeca por 10."
memoria-embaracosa-a-mesa,Memoria embaracosa a mesa,familia,coragem,gratis,15,leve,"evening,weekend",false,false,false,true,seated,Memoria leve,"Partilha algo simples e seguro, sem expor outras pessoas."
tarefa-que-nao-costuma-ser-tua,Tarefa que nao costuma ser tua,familia,real,gratis,15,leve,"evening,weekend",true,false,false,true,adapted task,Tarefa adaptada,Escolhe uma tarefa compativel com a tua energia e mobilidade.
album-de-fotografias-juntos,Album de fotografias juntos,familia,leve,gratis,20,realista,"evening,weekend",false,false,false,true,seated,Fotos digitais tambem contam,"Se nao houver album fisico, vejam fotos antigas no telemovel sem fazer scroll infinito."
bilhete-no-frigorifico,Bilhete no frigorifico,familia,leve,low_cost,5,micro,"morning,afternoon,evening",true,false,false,true,private-first,Bilhete simples,Deixa uma nota curta e concreta para alguem da casa.
elogio-invisivel-a-um-familiar,Elogio invisivel a um familiar,familia,coragem,gratis,5,micro,"morning,lunch,afternoon,evening",false,true,false,true,text alternative,Elogio por mensagem,Diz algo especifico que normalmente passa despercebido.
piquenique-no-chao-da-sala,Piquenique no chao da sala,familia,leve,low_cost,30,realista,"evening,weekend",false,false,false,true,seated,Piquenique sentado,"Pode ser na mesa, sofa ou outro lugar confortavel."
diz-nao-sem-discurso,Diz nao sem discurso,coragem,coragem,gratis,5,micro,"morning,lunch,afternoon,evening",true,true,false,false,private-first,Nao respeitoso,Diz nao com respeito e sem inventar uma grande justificacao.
almoco-ou-cafe-sozinho-sem-telemovel,Almoco ou cafe sozinho sem telemovel,coragem,real,low_cost,30,realista,"lunch,afternoon",true,false,false,false,seated,Sem ecra por partes,"Se for dificil, faz os primeiros 10 minutos sem telemovel."
pedido-de-desculpa-pequeno,Pedido de desculpa pequeno,coragem,coragem,gratis,10,leve,evening,true,true,false,false,text-based,Rascunho primeiro,Escreve primeiro. So envia se for seguro e apropriado.
duche-com-final-fresco,Duche com final fresco,coragem,real,gratis,2,micro,"morning,night",true,false,false,false,optional,Escolha segura,"Se agua fria nao for boa para ti, troca por lavar o rosto com agua fresca."
uma-app-fora-por-24-horas,Uma app fora por 24 horas,coragem,real,gratis,5,micro,morning,true,false,false,false,private-first,Silenciar tambem conta,"Se desinstalar for demais, desativa notificacoes por 24 horas."
dizer-nao-sei,Dizer nao sei,coragem,real,gratis,1,micro,"morning,lunch,afternoon,evening",true,true,true,false,low pressure,Honestidade curta,"Quando nao souberes algo, diz simplesmente que nao sabes."
conversa-de-elevador-sem-meteorologia,Conversa de elevador sem meteorologia,coragem,leve,gratis,2,micro,"morning,lunch,afternoon,evening",true,false,false,false,optional wave,Cumprimento alternativo,"Se nao houver contexto seguro, um cumprimento simples chega."
roupa-esquecida-na-rua,Roupa esquecida na rua,coragem,real,gratis,30,realista,"morning,lunch,afternoon,evening",true,false,false,false,private-first,Detalhe pequeno,"Usa uma peca que gostas mas tens evitado, sem transformar isso em performance."
pede-uma-pequena-melhoria,Pede uma pequena melhoria,coragem,coragem,low_cost,5,micro,"morning,lunch,afternoon,evening",true,false,false,false,respectful,Pergunta respeitosa,"Pede uma melhoria pequena com respeito: lugar mais calmo, ajuste, alternativa ou desconto se fizer sentido."
partilha-sem-voltar-para-ver-reacoes,Partilha sem voltar para ver reacoes,coragem,real,gratis,5,micro,"morning,lunch,afternoon,evening",true,false,false,false,private-first,Partilha privada,"Pode ser num circulo privado ou mensagem direta, sem ficar a verificar reacoes."
observa-antes-de-responder,Observa antes de responder,coragem,real,gratis,5,micro,"morning,lunch,afternoon,evening",true,true,true,false,low energy,Pausa consciente,"Quando discordares, faz uma pausa antes de responder."
apaga-ou-doa-tres-objetos,Apaga ou doa tres objetos,recomeco,leve,gratis,10,leve,"morning,lunch,afternoon,evening",true,false,false,false,low energy,Escolhe tres coisas,"Deita fora, recicla ou separa para doar tres objetos que ja nao usas."
limpa-50-emails-ou-5-newsletters,Limpa 50 emails ou 5 newsletters,recomeco,leve,gratis,15,leve,"morning,lunch,afternoon,evening",true,false,false,false,seated,Reduz o ruido,Apaga emails antigos ou cancela subscricoes que ja nao queres.
muda-a-ordem-da-rotina-matinal,Muda a ordem da rotina matinal,recomeco,leve,gratis,10,leve,morning,true,false,false,false,private-first,Muda uma coisa,Troca a ordem de uma pequena parte da manha.
fecha-separadores-abertos,Fecha separadores abertos,recomeco,leve,gratis,5,micro,"morning,lunch,afternoon,evening",true,false,false,false,seated,Fecha loops digitais,Fecha separadores ou apps que ficaram abertos sem necessidade.
carteira-sem-lixo,Carteira sem lixo,recomeco,leve,gratis,10,leve,"morning,lunch,afternoon,evening",true,false,false,false,seated,Limpeza pequena,"Esvazia taloes, cartoes e papeis que ja nao servem."
cancela-uma-subscricao-esquecida,Cancela uma subscricao esquecida,recomeco,real,gratis,15,leve,"morning,lunch,afternoon,evening",true,false,false,false,seated,Corta um gasto,Cancela ou agenda cancelar algo que nao usaste nos ultimos 30 dias.
stress-no-papel,Stress no papel,recomeco,coragem,gratis,10,leve,night,true,false,false,false,private-first,Escrever e largar,"Escreve o que te pesa e rasga ou guarda longe, como preferires."
foto-de-perfil-recente-e-normal,Foto de perfil recente e normal,recomeco,real,gratis,10,leve,"morning,lunch,afternoon,evening",true,false,false,false,optional,Foto sem palco,"Se fizer sentido, troca para uma foto recente e simples. Se nao, salta."
lencois-novos-a-meio-da-semana,Lencois novos a meio da semana,recomeco,real,gratis,20,realista,evening,true,false,false,true,adapted task,Renova uma parte,"Se mudar tudo for demais, troca apenas fronha ou manta."
cinco-contactos-a-deixar-ir,Cinco contactos a deixar ir,recomeco,coragem,gratis,10,leve,"morning,lunch,afternoon,evening",true,false,false,false,private-first,Limpeza com criterio,"Apaga contactos que ja nao fazem sentido manter, sem drama."
receita-de-tres-ingredientes,Receita de tres ingredientes,recomeco,real,low_cost,30,realista,"evening,weekend",true,false,false,true,seated tasks,Receita simples,Testa algo com tres ingredientes ou menos.
bloqueia-um-site-de-loop,Bloqueia um site de loop,recomeco,real,gratis,10,leve,"morning,lunch,afternoon,evening",true,false,false,false,private-first,Menos automatico,Bloqueia ou dificulta um site/app que te puxa para o loop.
bom-dia-com-contacto-visual,Bom dia com contacto visual,social,leve,gratis,1,micro,morning,true,false,false,false,low pressure,Cumprimento simples,Diz bom dia a alguem num contexto seguro.
elogia-um-trabalho-local,Elogia um trabalho local,social,leve,gratis,2,micro,"morning,lunch,afternoon,evening",true,true,false,false,low pressure,Elogio especifico,Elogia especificamente o trabalho de alguem num espaco local.
melhor-parte-do-teu-dia,Melhor parte do teu dia,social,real,gratis,10,leve,"afternoon,evening",false,true,false,true,text alternative,Pergunta leve,Pergunta: qual foi a melhor parte do teu dia ate agora?
quinze-minutos-so-a-ouvir,Quinze minutos so a ouvir,social,real,gratis,15,leve,"morning,lunch,afternoon,evening",false,false,true,false,low pressure,Ouvir sem competir,"Num grupo, fica 15 minutos a ouvir sem tentar ocupar espaco."
evento-gratuito-e-pequeno,Evento gratuito e pequeno,social,coragem,gratis,45,plano,"evening,weekend",true,false,true,false,check accessibility,Evento com saida facil,Vai a um evento pequeno e gratuito. Podes ficar pouco tempo.
meme-com-lembrei-me-de-ti,Meme com lembrei-me de ti,social,leve,gratis,3,micro,"morning,lunch,afternoon,evening",true,true,false,false,low energy,Contacto leve,"Envia uma imagem, meme, noticia ou foto com 'lembrei-me de ti'."
segura-a-porta-se-fizer-sentido,Segura a porta se fizer sentido,social,leve,gratis,1,micro,"morning,lunch,afternoon,evening",true,false,false,false,situational,Gesto simples,Faz um gesto pequeno de cortesia se for natural e seguro.
nome-do-vizinho,Nome do vizinho,social,coragem,gratis,5,micro,"morning,lunch,afternoon,evening",true,false,false,false,low pressure,Apresentacao curta,Apresenta-te a um vizinho ou pessoa do predio/bairro se o contexto for seguro.
comentario-positivo-discreto,Comentario positivo discreto,social,leve,gratis,3,micro,"morning,lunch,afternoon,evening",true,false,false,false,low energy,Reforco positivo,Deixa um comentario positivo e especifico a alguem que costuma ter pouca interacao.
cafe-pago-para-alguem,Cafe pago para alguem,social,coragem,low_cost,5,micro,"morning,lunch,afternoon",true,false,false,false,optional,Gesto anonimo,"Se tiveres margem, deixa um cafe ou pequeno gesto pago para alguem."
doa-roupa-ou-bens,Doa roupa ou bens,social,real,gratis,30,realista,weekend,true,false,false,true,adapted task,Separar para doar,"Se nao conseguires entregar hoje, separa e identifica onde doar."
entra-como-principiante,Entra como principiante,social,coragem,gratis,20,realista,"evening,weekend",true,false,true,false,online option,Principiante sem vergonha,Entra num grupo/forum/atividade onde estas a aprender do zero.
agradece-a-um-mentor,Agradece a um mentor,social,coragem,gratis,10,leve,evening,true,true,false,false,text-based,Agradecimento curto,"Envia uma mensagem a ex-professor, mentor ou pessoa que te marcou."
apresenta-duas-pessoas,Apresenta duas pessoas,social,real,gratis,10,leve,"morning,lunch,afternoon,evening",false,true,true,false,text-based,Apresentacao com cuidado,"Apresenta duas pessoas que podem gostar de se conhecer, com consentimento se necessario."
nota-a-equipa-invisivel,Nota a equipa invisivel,social,real,low_cost,5,micro,workday,true,false,false,false,low pressure,Agradecimento discreto,Deixa uma nota de agradecimento a alguem cujo trabalho costuma ser invisivel.
oferece-ajuda-se-for-bem-vindo,Oferece ajuda se for bem-vindo,social,real,gratis,5,micro,"morning,lunch,afternoon,evening",true,false,false,false,safety first,Ajuda respeitosa,Oferece ajuda simples apenas se parecer seguro e bem-vindo.
jardim-da-comunidade-em-observacao,Jardim da comunidade em observacao,social,leve,gratis,15,leve,"weekend,sunday",true,false,false,false,low sensory,Presenca calma,"Fica 15 minutos num jardim, igreja, associacao ou espaco comunitario so a observar."
perspetiva-interessante,Perspetiva interessante,social,coragem,gratis,5,micro,"morning,lunch,afternoon,evening",false,true,true,false,emotional regulation,Discordar sem discutir,"Quando discordares de algo banal, responde apenas com respeito e curiosidade."
walk-and-talk-combinado,Walk and talk combinado,social,real,gratis,30,realista,"lunch,evening,weekend",false,true,false,false,short route option,Percurso curto,"Combina uma conversa em caminhada curta, com ritmo combinado."
grupo-pequeno-em-vez-de-assistir-de-longe,Grupo pequeno em vez de assistir de longe,coragem,coragem,gratis,30,realista,"evening,weekend",false,false,true,false,host-aware,Participacao pequena,"Aceita participar num grupo pequeno em vez de ficar so a assistir, se te sentires seguro/a."
